paper_id,scientist_id
W2029648951,A5045295419
W4401545442,A5106436267
W4393935425,A5064215217
W4393935425,A5026861762
W4393935425,A5082191284
W4393935425,A5051830072
W4393935425,A5047300895
W4393935425,A5057880586
W4393935425,A5009198168
W4392750738,A5001665334
W3015901506,A5088255068
W3015901506,A5026370938
W3015901506,A5073856452
W3015901506,A5084013001
W3015901506,A5006074154
W2900656925,A5067142469
W4390946922,A5047300895
W4390946922,A5054757892
W4390946922,A5009198168
W2026973491,A5062897215
W2026973491,A5111452483
W48809960,A5103403855
W4402690901,A5107608108
W4402690901,A5107608109
W4402690901,A5107608110
W4402690901,A5106971615
W1595502742,A5057785083
W1595502742,A5010421574
W4395371383,A5095884333
W4395408849,A5082033798
W4396721167,A5033390440
W4396721167,A5088186812
W4396721167,A5096909573
W4396721167,A5017082774
W4396721167,A5101569668
W4396721167,A5062883663
W4396721167,A5045981348
W4396721167,A5064562558
W4396721167,A5079907259
W4396721167,A5096909571
W4396721167,A5063529978
W4396721167,A5025362921
W4396721167,A5041961903
W4396721167,A5001619292
W4396721167,A5009240058
W4396721167,A5079389977
W4396721167,A5003064960
W4396721167,A5092898020
W4396721167,A5089725552
W4396721167,A5018388854
W4396721167,A5061083764
W4396721167,A5027154958
W4396721167,A5110146710
W4396721167,A5081802485
W4396721167,A5062912204
W4396721167,A5085902321
W4396721167,A5004531184
W4396721167,A5105726990
W4396721167,A5096940192
W4396721167,A5019154965
W4396721167,A5035765666
W4396721167,A5088695041
W4396721167,A5096909574
W4396721167,A5030626083
W4396721167,A5045833046
W4396721167,A5058719466
W4396721167,A5051495639
W4396721167,A5097194705
W4396721167,A5062859701
W4396721167,A5078766592
W4396721167,A5036218344
W4396721167,A5029508763
W4396721167,A5009567462
W4396721167,A5096969453
W4396721167,A5013834379
W4396721167,A5004153109
W4396721167,A5005349213
W4396721167,A5059179935
W1520510487,A5046514222
W1520510487,A5108213344
W1520510487,A5003133489
W4403733501,A5114395407
W4403733501,A5114395408
W4403733501,A5114395409
W4403733501,A5114395410
W1582594879,A5047424481
W1582594879,A5113525106
W1571191814,A5111384548
W1650569836,A5103428585
W1650569836,A5029222319
W1650569836,A5024453552
W1650569836,A5074719850
W1650569836,A5109854285
W1650569836,A5047040065
W1650569836,A5072775640
W1650569836,A5042372975
W1650569836,A5005200888
W1650569836,A5056694565
W1650569836,A5016024634
W1650569836,A5036206852
W1650569836,A5020120787
W1650569836,A5110434971
W1650569836,A5002701997
W1650569836,A5110548805
W1650569836,A5053183861
W1650569836,A5038610409
W1650569836,A5014649493
W1650569836,A5089413024
W1650569836,A5103565640
W1650569836,A5077668493
W1650569836,A5012289170
W1650569836,A5087251657
W1650569836,A5050258977
W1650569836,A5017593374
W1650569836,A5050503336
W1650569836,A5111443336
W1650569836,A5009647855
W1650569836,A5112742820
W1650569836,A5038237780
W1650569836,A5022798307
W1650569836,A5018018977
W1650569836,A5080483913
W4403689548,A5102770134
W1566179750,A5034934314
W1599073694,A5074983403
W2130600976,A5027866744
W2130600976,A5028836411
W2130600976,A5023580438
W2130600976,A5088492971
W2130600976,A5076871607
W2744594409,A5021458756
W2744594409,A5013563265
W2972448934,A5040221608
W4395541647,A5064965180
W76711023,A5070069419
W76711023,A5039439048
W76711023,A5033624272
W76711023,A5042699171
W76711023,A5089741365
W76711023,A5109226480
W76711023,A5110128917
W76711023,A5104027881
W4395200472,A5095884333
W4396728897,A5096911206
W117731346,A5067972504
W4395342342,A5111181115
W4395594247,A5095884234
W1531368347,A5043369298
W1531368347,A5011820318
W4395669330,A5095905079
W4395669330,A5067548850
W4395669330,A5078775719
W4395669330,A5095905080
W4395669330,A5095905081
W4395669330,A5033555072
W1994546180,A5074092725
W4395539974,A5095883392
W4394726321,A5108319983
W4392777592,A5016977555
W4392777592,A5003377582
W4392777592,A5053537325
W4392777592,A5039567990
W4392777592,A5071774875
W4392777592,A5083476449
W4392777592,A5078477384
W4392777592,A5113991333
W4392777592,A5054296834
W4392777592,A5084900025
W4392777592,A5024750073
W4392777592,A5064052704
W4392777592,A5088995759
W4392777592,A5034192762
W4392777592,A5026092285
W4392777592,A5032911571
W4392777592,A5082095612
W4392777592,A5043090203
W4392777592,A5071585977
W4392777592,A5026749638
W4392777592,A5089363439
W4392777592,A5024882649
W4392777592,A5053475701
W4392777592,A5065241713
W4392777592,A5076785998
W4392777592,A5063338849
W4392777592,A5046130400
W562070977,A5106168174
W562070977,A5109387292
W4396583326,A5113195823
W4396583326,A5096258992
W4396583326,A5096380898
W4395010520,A5000849745
W4395010520,A5108146756
W4395010520,A5095837964
W4395010520,A5095837965
W4395010520,A5008497658
W4395010520,A5101378440
W1604831933,A5108657500
W1604831933,A5115959291
W2961193161,A5074350013
W4395390325,A5095885831
W4395409998,A5095886296
W4399809023,A5099247280
W4399809023,A5099247283
W4399809023,A5099247284
W4399809023,A5006497407
W4399809023,A5099247285
W4399809023,A5099247286
W4399809023,A5099247287
W4399809023,A5011116935
W4399809023,A5067822929
W4399809023,A5078073045
W4399809023,A5099247281
W4399809023,A5099247282
W4392622986,A5111143391
W4392622986,A5057247598
W4392622986,A5085127503
W4392622986,A5043298289
W4392622986,A5113137689
W4392622986,A5111009354
W4398182172,A5108934172
W4398182172,A5048249373
W4398182172,A5023586871
W4399652560,A5099121813
W4399652560,A5111228745
W4399652560,A5099121814
W4399808102,A5112555517
W4399808102,A5099246864
W4399808102,A5099246865
