paper_id,title,year
W2029648951,8 Decolonizing Methodologies: Research and Indigenous Peoples,2024
W4401545442,The Quarterly Journal of Economics,2024
W4393935425,Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2024
W2908631100,African Journal of Biotechnology,2024
W4392750738,Personal Communication,2024
W3015901506,The Difference between Emergency Remote Teaching and Online Learning,2024
W2900656925,Qualitative Case Studies,2024
W3021238137,The Physics of Semiconductor Devices,2024
W4390946922,"Cancer statistics, 2024",2024
W2026973491,Cognition and Categorization,2024
W4405283870,Diagnostic and Statistical Manual of Mental Disorders,2024
W48809960,Metacognitive Aspects of Problem Solving,2024
W4402690901,Strategi Belajar Mengajar,2024
W1595502742,Treatise on Geochemistry,2024
W4255564469,Pharmacological Reviews,2024
W4395371383,University of North Carolina at Chapel Hill Herbarium: Vascular Plants,2024
W4395408849,University of California Museum of Paleontology,2024
W4403252750,World Applied Sciences Journal,2024
W4235929402,Applied Mechanics and Materials,2025
W4396721167,Accurate structure prediction of biomolecular interactions with AlphaFold 3,2024
W1520510487,Conformal field theory,2024
W4403461050,American Philosophical Quarterly,2024
W4403733501,Inorganic Chemistry: Principles of Structure and Reactivity,2024
W1582594879,Attention And Cognitive Control 1,2024
W1571191814,Revolution in Poetic Language,2024
W1650569836,Climate Change 2023 Synthesis Report,2024
W4403689548,Theory of Elastic Stability,2024
W1566179750,Aircraft Design: A Conceptual Approach,2024
W1599073694,17 From Human Nature and Conduct (1922),2025
W4200531859,International Journal of Oncology,2024
W2130600976,African Journal of Agricultural Research,2024
W2744594409,Handbook of Research Methods in Social and Personality Psychology,2024
W2972448934,CAS Mammalogy (MAM),2024
W4395541647,"Vertebrate Zoology Division - Mammalogy, Yale Peabody Museum",2024
W76711023,Materials Science Forum,2024
W4395200472,North Carolina State University Vascular Plant Herbarium,2024
W4396728897,Curso de Direito Administrativo,2024
W117731346,Ideology and Ideological State Apparatuses,2024
W2889380254,Black Feminist Thought,2024
W4395342342,UF FLMNH Ichthyology,2024
W3123285923,Nonmonetary Effects of the Financial Crisis in the Propagation of the Great Depression,2024
W4395594247,"Vascular plant herbarium, The Arctic University Museum of Norway (TROM)",2024
W1531368347,Proceedings of the 56th Annual ACM Symposium on Theory of Computing,2024
W4395669330,Fault Detection Method based on Artificial Neural Network for 330kV Nigerian Transmission Line,2024
W1994546180,Giving an Account of Oneself,2025
W4395539974,Vascular plant herbarium (KMN) UiA,2024
W4394726321,A Study to Evaluate Psychological Distress and Self-Esteem Among Patients with Hemodialysis,2024
W4241696032,South African Journal of Education,2024
W4392777592,KDIGO 2024 Clinical Practice Guideline for the Evaluation and Management of Chronic Kidney Disease,2024
W4400948341,Indian Journal of Medical Research,2024
W562070977,Key Engineering Materials,2024
W4396583326,Enhancements in Immediate Speech Emotion Detection: Harnessing Prosodic and Spectral Characteristics,2024
W4395010520,Beyond Mobile Payments: Exploring the Evolution and Future of Fintech (BY IJISRT),2024
W1604831933,From The Emancipated Spectator,2025
W2961193161,Vascular plant specimens of National Museum of Nature and Science (TNS),2024
W4395390325,"Rutgers University, Chrysler Herbarium",2024
W4395409998,"University of Michigan Museum of Zoology, Division of Fishes",2024
W4399809023,Ethnobotanical Studies of Reputed Aphrodisiac Plants Used in Traditional Medicine in Haut-Katanga in DR of Congo,2024
W4392622986,Factors Associated with Membership in a Mutual Health Insurance Fund in the Thiès Region (Senegal) in 2023: Article,2024
W4398182172,E-Commerce Promotional Products Selection Using SWARA and TOPSIS,2024
W4399652560,Knowledge of Intestinal Parasitic Infection and Anemia among Pregnant Women Attending Antenatal Clinic in Ogun State,2024
W4399808102,Analysis of Work Measurement Using a Stopwatch in a Motorcycle Workshop,2024
W4399810586,"Analysis of Selected Physical Fitness, Physiological, and Psychological Variables among Government, Government-Aided, and Private School Boys in Chennai District",2024
W4399896625,Implementation of Total Productive Maintenance on Frame Welding Machine Maintenance Using the Overall Equipment Effectiveness (OEE) Method at PT Electronics Components Indonesia,2024
W4395585951,HAS - Herbário Alarich Rudolf Holger Schultz,2024
W4395638568,NMNH Paleobiology Specimen Records (USNM),2024
W4396874809,Red Book: 2024–2027 Report of the Committee on Infectious Diseases,2024
W4394846027,Research Methodology: Methods And Techniques,2024
W2999441350,Persuasion and Healing,2024
W4403868128,Personal communication,2024
W4399916521,Acta Psychologica Sinica,2024
W4395226145,DMNS Mammal Collection (Arctos),2024
W1536538149,"Coloniality of Power, Eurocentrism, and Latin America",2024
W2745547123,Behavioral Game Theory,2025
W4401377280,Manajemen Pemasaran Modern,2024
W4229933927,Proceedings of the National Academy of Sciences,2024
W4213385752,International Journal of Molecular Medicine,2024
W4205691162,International Journal of Physical Sciences,2024
W4400087626,Quality Control of Ceramic Wall Products Six Sigma Method with Dmaic Tools and Failure Mode and Effect Analysis (FMEA),2024
W430011393,"Field Experiments: Design, Analysis, and Interpretation",2024
W4213028051,Chinese Optics Letters,2025
W1973826788,Regularity in semantic change,2024
W2129537735,Journal of Medicinal Plants Research,2024
W4395438975,MHA Herbarium: collections of vascular plants,2024
W4393183306,Loss of Life Transformer Prediction Based on Stacking Ensemble Improved by Genetic Algorithm By IJISRT,2024
W4396831394,Revolutionizing Supply Chain Management: Real-time Data Processing and Concurrency,2024
W2222702172,World Reference Base for Soil Resources. International soil classification system for naming soils and creating legends for soil maps,2024
W1712757310,To err is human. Building a safer health system,2024
W4395196686,"LOB - California State University, Long Beach Herbarium",2024
W4399578091,Qualitative data analysis,2024
W147792004,Journal of the Geological Society of India,2024
W4392306314,Introduction to Non-linear Mechanics,2024
W4404692726,World Health Statistics 2023,2024
W4211246989,International Journal of Molecular Sciences,2024
W4393263880,"11 COLONIALITY OF POWER, EUROCENTRISM, AND LATIN AMERICA",2024
W4395488713,Canadian Museum of Nature Fish Collection,2024
W4205226293,Journal of Agricultural Science and Technology A,2024
W1539911878,Metabolism of Polycyclic Aromatic Hydrocarbons in the Aquatic Environment,2024
W2109413851,Percutaneous polymethylmethacrylate vertebroplasty in the treatment of osteoporotic vertebral body compression fractures: technical aspects,2024
W1484272304,The Chemistry of Clay-Organic Reactions,2024
