scientist_id,name
A5010062957,A Boyle
A5022654839,Terry Law
A5025810381,Josh Adkins
A5040654425,George M Garrity
A5053617215,Charles Thomas Parker
A5074663242,Tujin Shi
A5077382678,Karin Rodland
A5070718545,Marina Gritsenko
A5077731390,Kristin Burnum-Johnson
A5058811459,Vladislav Petyuk
A5043928018,Tao Liu
A5005196385,Matthew Monroe
A5004906254,Ron Moore
A5058115937,Rosey Chu
A5020192096,Sarah Leichty
A5102588844,CF Tsai
A5061414245,Ashley Rubinstein
A5006191066,Scott Baker
A5044610102,Marija Veličković
A5100389959,Yi-Ting Wang
A5025452099,Dušan Veličković
A5023982706,Richard Smith
A5102590311,Josh Cuevas Fernandez
A5100684042,Rui Zhao
A5020386947,B Noble
A5034698904,Richard Smith
A5025760548,Karl Weitz
A5089245822,Joshua Adkins
A5033168850,Tom Metz
A5111088165,Josh Cuevas Fernandez
A5052125746,Thomas Fillmore
A5075235007,Weijun Qian
A5064812119,Iosr Journals
A5018236442,Daniel M. Master
A5036875012,Lawrence E. Stager
A5099038853,Haylie Kimball
A5053777031,André EX Brown
A5050316172,William R Schafer
A5103150221,Chris Li
A5091068752,Eviatar Yemini
A5045283595,Quee-Lim Ch'ng
A5032301046,Laura J Grundy
A5061217467,Rex Kerr
A5003742246,Chee Wai Lee
A5077426974,Michael Currie
A5071240298,Carrie Nicora
A5015827324,Jim Hokanson
A5029281159,Karl Weitz
A5058699536,Sebastian Funk
A5083613572,Sam Abbott
A5048096509,Katharine Sherratt
A5083455510,Christopher Bennett
A5073198689,Martin H. Weik
A5088542244,Joe Hickson
A5052184745,Athena Schepmoes
A5102810576,Yi‐Ting Wang
A5087040185,Dorothea Taylor
A5100373745,Xiaohong Chen
A5037253743,Ernesto Nakayasu
A5048899487,Avelino Javer
A5025745502,Jennifer Kyle
A5056181147,Robyn Fiori
A5113602476,Jan W. Gooch
A5108044601,M Kellis
A5022426235,Jamie Allen
A5110041896,R. T. Pardasani
A5041669268,Charles Dickens
A5053873608,Yuqian Gao
A5056703958,Kezhi Li
A5069966215,K. Sosnkowska-Kehiaian
A5110496674,nasa
A5014753833,Philippe Bougeret
A5020443342,Bobbie‐Jo Webb‐Robertson
A5020608405,Jason McDermott
A5006092446,Ying Zhu
A5010734294,Paul Piehowski
A5076586899,Patricia Miller
A5099282539,Kelly Hatter
A5069926616,Kent Bloodsworth
A5087552123,Jason Toyoda
A5034256236,Heather Olson
A5075814924,Yinyin Ye
A5100684044,Rui Zhao
A5063321857,Banner Smith
A5052412732,Nikola Tolić
A5062126682,Marina Bährle-Rapp
A5005521075,Josie Eder
A5100756103,Ju Yeon Lee
A5099038857,Haylie Kimball
A5051384039,M. Kumar
A5112726544,Tai‐Tu Lin
A5064529704,Nicholas Wood
A5100599435,Jian Wu
A5060603552,Erin Baker
A5000134164,Nancy Hess
A5100684039,Rui Zhao
A5087615023,S. I. Sukhoruchkin
A5026302045,Z. N. Soroko
A5004588687,Janet Jansson
A5083508715,Nathalie Munoz Munoz
A5021760293,Rosalie Chu
A5031131006,Chaevien Clendinen
A5022928420,Samuel Purvine
A5100338122,Tao Liu
A5051837759,Sarah Fansler
A5050750924,Xiao Hu
A5112810742,John Henry Newman
A5049080051,Shelley McGuire
A5067234032,Julia Laskin
A5011618630,Arnold L. Rheingold
A5084026286,Rebecca Powell
A5065901658,John Henry Newman
A5002382626,International Monetary Fund
A5058484638,ほか
A5112897187,Alex Beliaev
A5052051439,Sabeeha Merchant
A5009756481,Aaron Wright
A5014206985,S.I. Sukhoruchkin
A5091051916,Z.N. Soroko
A5010034827,Christina Stevenson
A5111932652,David Camp
A5025780255,David Hoyt
A5101459711,Zhe Xu
A5037591411,Louis Fieser
A5101200850,Chaochao Wu
A5071741936,Elizabeth Eder
A5060691247,Netta Gurari
A5100748869,Li Zhu
A5045689156,Mary Fieser
A5100437036,Kai Wang
A5057435771,Mark Bowden
A5023871699,Montana Smith
A5006709826,Brian W. Skelton
A5043468364,Tanya Winkler
A5011059806,James Fulcher
A5037443412,Krishna Niyogi
A5044740357,Sarah Wigley
A5094301860,Icíar Oquiñena
A5094301861,Jean-Marie Schmerber
A5018510110,P. Pardasani
A5074815294,J.-C. Fontaine
A5094301859,David J. Elsworth
A5042664825,Frank Gaillard
A5060552011,Thomas Hardy
A5101786298,Kezhi Li
A5086797953,Henry Knipe
A5006283848,Scott Baker
A5029503725,Shakhnoza S. Azimova
A5075318980,H.V. Kehiaian
A5085384361,Mary Lipton
A5055887076,Allison Thompson
A5112155211,William Shakespeare
A5038344776,Jamie Nuñez
A5110842527,Ch. Wohlfarth
A5099282225,Kelly Hatter
A5000979385,Monee McGrady
A5081907229,Viroj Wiwanitkit
A5076699095,Wei Zhang
A5053205856,Institut Français Du Proche-Orient
A5075414158,Albert Rivas‐Ubach
A5075220507,Douglas M. Templeton
A5014936305,Melissa Roth
A5100352881,Wei Huang
A5113604382,John H. Duffus
A5009855140,Hoong‐Kun Fun
A5100405781,Ping Zhang
A5100394072,Lei Zhu
A5058772567,Lei Wang
A5076326132,Avelino Javer
A5101533200,Young‐Mo Kim
A5088036933,Shayan Lameh
A5016926359,Chris Jansson
A5049970193,Alexandra M. Z. Slawin
A5068615364,Charles Ansong
A5088064718,Ellen A. A. Nollen
A5100398118,Jeong Yong Lee
A5022509460,Stephen Callister
A5030682716,Ashley Robinson
A5074316065,Robert Koch-Institut
A5063905814,Céline N. Martineau
A5022503966,Ryan McClure
A5069958665,John L. Capinera
A5075082525,Mohamed Elzek
A5090435894,Hagop M. Kantarjian
A5038405190,Gregory Y.H. Lip
A5104858455,Mostafa El-Feky
A5113476048,Li
A5060264145,Ian Stephens
A5041573207,Takashi Taniguchi
A5085367465,Sean Colby
A5045096283,Kenji Watanabe
A5108775001,John B. Heppner
A5100353673,Hao Chen
A5084628833,Jessica Bade
A5076482116,Adam Swensen
A5100382146,Xiaolu Li
A5057824361,PowerTAC
A5099282556,Kelly Hatter
A5017034945,Christine Chang
A5104311930,Curtis A. Bradley
A5076572080,Allison Myers‐Pigg
A5023732378,Sneha Couvillion
A5113930378,Jack L. Goldsmith
A5048279225,Yukio Ando
A5045312123,P. Pardasani
A5090386698,Oona A. Hathaway
A5063943424,William Kew
A5067276579,Jon Jacobs
A5070952855,Maine Campus Staff
A5065787609,M Beer
A5072164503,Henry S. Rzepa
A5100381999,Qiang Zhang
A5011306552,John Bargar
A5077647946,Qian Zhao
A5065406835,Charles Redmon
A5094303392,bsu aal
A5091367425,Maria Mukhina
A5104343405,Jesse Trejo
A5081142251,Amir Ahkami
A5086547107,Mikayla Borton
A5113478149,Zhang
A5080121374,Karin Rodland
A5073834446,James Stegen
A5111376905,Peter G. Jones
A5098794128,Netta Gurari
A5108658671,статья Редакционная
A5110843672,OECD
A5065082245,W. Clegg
A5088627691,Editors Archiv für katholisches Kirchenrech
A5034097318,Nicholas Day
A5011650421,C. T. Russell
A5067986935,Shivani Upadhyaya
A5108888965,Sarai Williams
A5084169778,Jun Wang
A5098794119,Digital Archive Of Massachusetts Anti-Slavery
A5006536606,Vanessa Garayburu‐Caruso
A5009910896,Andrew Lipton
A5061892859,N. Melnichenko-Koblyuk
A5071396280,Chi Xiao
A5088369746,Feng Yang
A5098794186,Unav
A5089379373,Ben Zhong Tang
A5020880379,Pubudu Handakumbura
A5023705098,Michael Bolte
A5002516911,Arunima Bhattacharjee
A5008075285,BRUCE JANCIN
A5110775514,Robert Herrick
A5009129830,Maritza Sanchez Valdivia
A5043452704,Martin Nieger
A5051101756,Ryan Renslow
A5071519507,Jayde Aufrecht
A5076949434,Nicole Danielle Osier
A5110336671,Lü
A5057643177,M. Jain
A5100364769,Jin Li
A5034878585,Kim Hixson
A5079873685,Xingyuan Chen
A5113843968,William Wordsworth
A5060255302,Sophia McKever
A5013184354,George Davey Smith
A5005097813,Tim Scheibe
A5058262179,International Food Policy Research Institute
A5105617328,Jian JIAN
A5051751466,Guy M. Kirwan
A5101877022,Irina Novikova
A5112774156,ред
A5068888465,Taylor Cameron
A5035096362,Ryan Sontag
A5015112468,Sara Taylor
A5007509063,Eric Bottos
A5040095743,Taniya Roy Chowdhury
A5100606557,Paul M. Thompson
A5024900493,Shahan Mamoor
A5111389342,Jie Jie
A5100400217,Jun Zhang
A5067109486,Amy Goldman
A5034751002,Constantin G. Daniliuc
A5065026659,Marjorie A. Hoy
A5012101473,ZHANG Li
A5105141887,이상호
A5112715032,Johann Sebastian Bach
A5113996320,Anonymous Anonymous
A5113906729,Heinz Mehlhorn
A5030773855,Lupita Renteria
A5030174951,Morgan Barnes
A5073216705,Dan J. Stein
A5039395705,Frede Blaabjerg
A5017146197,Alan Roebuck
A5009404760,Peter Nijkamp
A5050099873,Jing Liu
A5032715322,Florian Seliger
A5052244302,Daniela Strenkert
A5043918304,Samantha Grieger
A5100365785,Sanjeev Sharma
A5065735206,Nobutaka Hirokawa
A5034017799,Qiang Li
A5114377956,Bo Liu
A5109834351,Jun Jun
A5021495764,Stephanie Fulton
A5023023644,Jie Zhang
A5011588403,Ammar Haouimi
A5029729058,Vanessa Paurus
A5100444820,Xiaogang Wang
A5100376569,Zhong Lin Wang
A5040662398,Erik De Clercq
A5074730004,Didier Raoult
A5077719529,Siddhartha S Srinivasa
A5100338921,Huan Liu
A5061623935,Francesco Montorsi
A5021962471,Blake Mathews
A5080882260,Ray J. Butcher
A5026083794,Tapomayukh Bhattacharjee
A5022857079,Eun‐Kyung Kim
A5063130484,Tim Cook
A5062286730,이상훈
A5004286635,Helmar Görls
A5049615095,김성수
A5069763141,Wei Wang
A5002078295,Filomena Maggino
A5010742820,S. D. Barthelmy
A5100399276,Han Zhang
A5042307561,H. Vincent Poor
A5100425554,Li Zhang
A5081423552,Rainer W. Bussmann
A5110126212,Jirard Brown
A5001546885,Danny Orton
A5078999329,Young Jin Kim
A5012117525,C.H. Arrowsmith
A5060926934,Livy Titus Livius
A5041887229,Alexander K. C. Leung
A5031672207,Kau
A5032020071,Lye Meng Markillie
A5037809865,Katherine Holmes
A5070564500,Vimal Kumar Balasubramanian
A5016320511,Richard C. Cabot
A5034309539,Hugo Ten Cate
A5055753264,Anil Shukla
A5098828134,Netta Gurari
A5000044759,Karol Kamiński
A5050242178,P. Jackson
A5079956770,Wei Li
A5049143428,Thierry Roisnel
A5100418548,Chen Chen
A5003326991,Daryl Moorhead
A5088794473,Klaus-Jürgen Evert
A5059190653,Michael Weintraub
A5022437227,Jun Zhang
A5107677415,Wei
A5054972888,Therese RW Clauss
A5063792624,Patrick W. Serruys
A5029768249,Yong Li
A5052910292,Ruonan Wu
A5108510705,Sam Payne
A5008452332,Dieter Häussinger
A5106219282,Mary McGown
A5106219283,Audrey Johns
A5026848585,Wei Liu
A5108167595,X. Wu
A5010571732,Deepak L. Bhatt
A5019356592,J. B. Singh
A5000629060,Thomas Schwarz
A5025313057,Kaj Blennow
A5006834808,Monica Nordberg
A5062391734,Yehia Ibrahim
A5015101485,Jorge E. Cortés
A5079766290,Henrik Zetterberg
A5100630207,M. Weber
A5082213051,Bin Li
A5059980683,Ivana Cı́sařová
A5080102032,Hao Wang
A5110621278,Sin Autor
A5043042218,Dietmar Schomburg
A5002415904,D. M. Palmer
A5112224715,Yan
A5021056331,Alan Robock
A5078263922,Tao Wang
A5109534122,Daniel Bell
A5113081611,Matt Kaufman
A5100698315,M. Costa
A5040141774,Tamás Varga
A5030313582,Ehwang Song
A5100694840,Min Yang
A5005870450,Emily Graham
A5040090704,Min Li
A5014634951,Simon J. Coles
A5053011724,Jeroen J. Bax
A5005221518,Gordon B. Mills
A5113978728,New York
A5100669549,Huiguang He
A5110150733,Bo Bo
A5113496944,Alexander K. C. Leung
A5018012012,Gang Li
A5034807035,Gerhard Erker
A5037827645,Linda Lu
A5054138931,M. Jain
A5044215108,Peng Zhang
A5100638254,S. L. Wu
A5108073307,김동현
A5040692774,Κ. Peters
A5114000730,Herausgegeben Von
A5108293530,Thomas Wietsma
A5082656873,Paul K. Chu
A5093576879,Austin Gluth
A5044261085,김현수
A5100355692,Yang Liu
A5087145651,Ji-Young Kim
A5082158198,Alan R. Katritzky
A5019014578,Min Joung Kim
A5064616873,Tacitus Cornelius Tacitus
A5084750854,Alexander J. Blake
A5015893189,J.-P.E. Grolier
A5063856451,Michael Schwenk
A5110571850,Christian Wohlfarth
A5100740683,W. T. Ford
A5104039367,Jochen Winkelmann
A5021374155,George Hangay
A5100666747,A. Bodek
A5100351175,Yan Liu
A5040861534,M. Morii
A5084670164,Frank Röminger
A5032470776,Jamie Allen
A5031340334,Antonio Gasbarrini
A5088601700,Madison Blumer
A5002336595,Rudolf Holze
A5010073225,CAB International UK
A5085982027,Yasemin Yesiltepe
A5071088289,Felicity Nielson
A5107599570,et al.
A5009096021,Tino Wells
A5089303549,Ian Stephens
A5076403607,Claudio Ronco
A5059015344,Kate Schultz
A5108631335,Ji
A5100640276,Anil K. Sood
A5100774776,Cyrus Cooper
A5081906967,Christopher Anderton
A5109531145,Wei Wei
A5075230689,R. Kowalewski
A5100336796,Jing Li
A5109831824,LI -
A5038029240,Holger Braunschweig
A5063063620,Daniel Miller Runfola
A5053138224,Uwe Windhorst
A5068853530,Juan Pablo
A5112194074,Barry Turner
A5006557773,Anna I. Glushenkova
A5034122195,Swarup China
A5100338073,Tao Liu
A5109539811,William M. Irvine
A5024351751,Yusra Sheikh
A5024120181,M Snyder
A5055812269,Ljiljana Paša‐Tolić
A5047504462,Yong Wang
A5019602067,Michael Mills
A5072753091,Xuelin Ma
A5065569192,Toshio Fukuda
A5100616675,Sang Yup Lee
A5100422786,Qian Wang
A5100444537,M. Kumar
A5011216396,Rinaldo Bellomo
A5115739212,Sw. Banerjee
A5058246960,A. Gupta
A5041318032,Anja Schmidt
A5012703845,Florentín Smarandache
A5100345153,Qing Liu
A5014770642,A.M. Edwards
A5074164414,Li Li
A5107889976,Li Wang
A5056575870,Redaktion Facharztmagazine
A5080762339,Trevor W. Robbins
A5012526019,N. Berger
A5111964102,Jun Wang
A5013507311,Craig Hacking
A5026048739,Giovanni Scambia
A5087017849,María Trujillo
A5004625476,Brian Zambri
A5032730516,Antonio Frontera
A5077206620,Hermann Brenner
A5098828148,Digital Archive Of Massachusetts Anti-Slavery
A5112717446,Wolfgang Amadeus Mozart
A5115602439,Haibo Liu
A5039324842,Cord Sunderkötter
A5113436937,Li
A5109533790,C.J. Wormald
A5086927005,Bruce A. Smith
A5002712420,Hyung Jun Kim
A5016697650,Harold Achicanoy
A5043559433,B. Stugu
A5009883620,Ethan Kroll Gordon
A5059481564,Min-Soo Kim
A5072258594,Tien Yin Wong
A5074211409,Michael G. B. Drew
A5049162913,Ian Bickle
A5113155897,Jean-Yves Nau
A5032464400,Kenneth C. Anderson
A5027408085,Stephen Solovitz
A5029762841,Jiaqi Wang
A5067751216,Bhim Singh
A5055701440,Lee Ann McCue
A5061607254,Constance Holden
A5018641056,A. W. N. Pugin
A5106322370,P. Giacomelli
A5055801618,Deisy Chaves
